Page URL,Page Type,Funnel Stage,Primary Keyword,Secondary Keywords,Search Intent,Recommended Word Count,Schema Types,Primary CTA,Internal Links Outbound,Priority,90-Day Phase,Status,Notes
https://weborbitsolution.in/,Homepage,BOFU,SaaS Product Development Company in India,Website Development Company in India | App Development Company in India | IT Consulting and Services in India,Commercial,1200-1800,Organization|WebSite|LocalBusiness|FAQPage|BreadcrumbList,Book Consultation,/services | /custom-software-development-india | /mobile-app-development-company | /react-js-development-company | /contact,P1,Phase 1 (Days 1-30),Existing - refine,Keep homepage broad; do not let it cannibalize service pages.
https://weborbitsolution.in/services,Service Hub,MOFU,IT Consulting and Services in India,technology consulting partner India | digital transformation consulting India,Commercial,1500-2200,Service|FAQPage|BreadcrumbList,Get IT Consulting Plan,/custom-software-development-india | /seo-services-in-india | /contact,P1,Phase 1 (Days 1-30),Existing - refine,Make this the single owner for consulting intent.
https://weborbitsolution.in/custom-software-development-india,Service,BOFU,Custom Software Development Company in India,SaaS Product Development Company in India | custom SaaS development services | enterprise software development India,Commercial,1800-2600,Service|FAQPage|BreadcrumbList,Book SaaS Consultation,/blog/saas-product-development-cost-in-india | /blog/how-much-does-custom-software-cost-in-india | /contact,P1,Phase 1 (Days 1-30),Existing - refine,"Add strong proof, packages, timeline blocks."
https://weborbitsolution.in/mobile-app-development-company,Service,BOFU,App Development Company in India,android app development company India | iOS app development company India | startup app development services,Commercial,1700-2400,Service|FAQPage|BreadcrumbList,Start App Consultation,/blog/website-development-timeline-how-long-it-takes | /contact,P1,Phase 1 (Days 1-30),Existing - refine,Own app commercial intent only on this page.
https://weborbitsolution.in/react-js-development-company,Service,BOFU,Website Development Company in India,next.js development company India | conversion-focused website development,Commercial,1700-2400,Service|FAQPage|BreadcrumbList,Book Web Consultation,/blog/react-vs-nextjs-business-websites | /blog/seo-and-website-development-company | /contact,P1,Phase 1 (Days 1-30),Existing - refine,Keep React/Next differentiator; avoid generic app terms here.
https://weborbitsolution.in/seo-services-in-india,Service,BOFU,SEO Services in India,AI search optimization services | voice search optimization services India | technical SEO services India,Commercial,1700-2500,Service|FAQPage|BreadcrumbList,Request SEO Audit,/blog/seo-services-for-startups-in-india | /blog/seo-ready-website-checklist | /contact,P1,Phase 1 (Days 1-30),Existing - refine,Prioritize BOFU + AI search service angle.
https://weborbitsolution.in/website-development-company-mumbai,City Landing,BOFU,Website Development Company in Mumbai,website design company Mumbai | web development agency Mumbai,Transactional,1200-1800,LocalBusiness|Service|FAQPage|BreadcrumbList,Book Consultation,/react-js-development-company | /contact,P1,Phase 2 (Days 31-60),Existing - refine,Local proof + city testimonials needed.
https://weborbitsolution.in/app-development-company-bangalore,City Landing,BOFU,App Development Company in Bangalore,mobile app developer Bangalore | startup app developers Bangalore,Transactional,1200-1800,LocalBusiness|Service|FAQPage|BreadcrumbList,Start App Consultation,/mobile-app-development-company | /contact,P1,Phase 2 (Days 31-60),Existing - refine,Add Bangalore-specific use cases.
https://weborbitsolution.in/saas-development-company-hyderabad,City Landing,BOFU,SaaS Development Company in Hyderabad,custom SaaS development Hyderabad | SaaS product engineering Hyderabad,Transactional,1200-1800,LocalBusiness|Service|FAQPage|BreadcrumbList,Book SaaS Consultation,/custom-software-development-india | /contact,P1,Phase 2 (Days 31-60),Existing - refine,Add subscription SaaS case outcomes.
https://weborbitsolution.in/website-development-company-delhi,City Landing,BOFU,Website Development Company in Delhi,web design company Delhi | custom website development company in Delhi,Transactional,1300-1900,LocalBusiness|Service|FAQPage|BreadcrumbList,Book Consultation,/react-js-development-company | /contact,P1,Phase 2 (Days 31-60),New,High-intent missing page.
